,ZONA_O,NOME_O,CO_O_X,CO_O_Y,CO_DOM_X,CO_DOM_Y,DATA,DIASEMANA,HORA_SAIDA,ZONA_D,NOME_D,CO_D_X,CO_D_Y,HORA_CHEG,DURACAO,IDADE,SEXO,TIPVG,MODOPRIN,MODO1,MODO2,MODO3,MODO4,FE_VIA,MOTIVO_O,MOTIVO_D,CO_T1_X,CO_T1_Y,CO_T2_X,CO_T2_Y,CO_T3_X,CO_T3_Y,CO_TR1_X,CO_TR1_Y,CO_TR2_X,CO_TR2_Y,PE_BICI,VIA_BICI,TP_ESTBICI,QT_BICICLE,QT_AUTO,QT_MOTO,CRITERIOBR,RENDA_FA
1782,82,Pinheiros,-23.55952119028301,-46.69763330649581,-23.568202452982494,-46.689868561094535,21/08/2018,1,16:02:00,82,Pinheiros,-23.568202452982494,-46.689868561094535,16:15:00,780,25,2,4,15,15,0,0,0,39.621531,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2,1,0,3,5223.9
1783,82,Pinheiros,-23.568202452982494,-46.689868561094535,-23.568202452982494,-46.689868561094535,21/08/2018,1,07:50:00,82,Pinheiros,-23.55952119028301,-46.69763330649581,08:00:00,600,4,1,4,15,15,0,0,0,162.348746,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,1,0,3,5223.9
1784,82,Pinheiros,-23.55952119028301,-46.69763330649581,-23.568202452982494,-46.689868561094535,21/08/2018,1,16:02:00,82,Pinheiros,-23.568202452982494,-46.689868561094535,16:15:00,780,4,1,4,15,15,0,0,0,162.348746,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,1,0,3,5223.9
1788,82,Pinheiros,-23.569418735073103,-46.698407102865026,-23.569418735073103,-46.698407102865026,21/08/2018,1,08:30:00,339,Cidade Universitária,-23.559691042094872,-46.741059890276155,09:00:00,1800,29,2,4,15,15,0,0,0,90.595228,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,0,0,0,0,5245.89
1789,82,Pinheiros,-23.562282898522906,-46.69528837484755,-23.562282898522906,-46.69528837484755,2/08/2018,3,07:30:00,81,Jardim Europa,-23.580122204785205,-46.683211997387964,07:55:00,1500,33,1,4,15,15,0,0,0,44.560066,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.580122204785205,-46.683211997387964,0.0,0.0,7,1,3,1,0,0,4,3213.13
1832,82,Pinheiros,-23.562903268655774,-46.69636410506216,-23.562903268655774,-46.69636410506216,24/09/2018,0,15:00:00,82,Pinheiros,-23.573938298860007,-46.69633932811647,15:10:00,600,28,2,4,15,15,0,0,0,39.621531,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.573938298860007,-46.69633932811647,0.0,0.0,1,2,3,1,1,0,3,4949.29
1833,82,Pinheiros,-23.573938298860007,-46.69633932811647,-23.562903268655774,-46.69636410506216,24/09/2018,0,21:00:00,82,Pinheiros,-23.562903268655774,-46.69636410506216,21:10:00,600,28,2,4,15,15,0,0,0,39.621531,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.573938298860007,-46.69633932811647,0.0,0.0,1,2,3,1,1,0,3,4949.29
1843,82,Pinheiros,-23.56941830686633,-46.69844628339483,-23.56941830686633,-46.69844628339483,1/09/2018,5,07:00:00,339,Cidade Universitária,-23.563795748352142,-46.7146060491076,07:15:00,900,30,1,4,15,15,0,0,0,101.88726199999999,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.563795748352142,-46.7146060491076,0.0,0.0,1,1,3,2,2,0,2,7222.81
1844,82,Pinheiros,-23.56941830686633,-46.69844628339483,-23.56941830686633,-46.69844628339483,1/09/2018,5,08:00:00,339,Cidade Universitária,-23.561256474597585,-46.72293872750977,08:25:00,1500,26,2,4,15,15,0,0,0,90.595228,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.561256474597585,-46.72293872750977,0.0,0.0,1,1,3,2,2,0,2,7222.81
1849,82,Pinheiros,-23.55952119028301,-46.69763330649581,-23.55523143098679,-46.69187722315057,19/08/2017,5,20:30:00,83,Vila Madalena,-23.55523143098679,-46.69187722315057,20:40:00,600,31,1,4,15,15,0,0,0,100.238106,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.55952119028301,-46.69763330649581,0.0,0.0,1,2,1,2,0,0,3,9200.0
